#1

Data source: ERA5 https://cds.climate.copernicus.eu/cdsapp#!/home

Reanalysis wind speed data, starting from 2018-01-01 00:00:00
Geographical location 61.25N 2.0E

# time(s)   speed at 100m ASL(m/s)

double speed(17520, 2)
0	8.136691
3600	7.7737126
7200	8.031507
10800	8.147182
14400	8.098756
18000	8.091533
21600	8.681031
25200	9.376919
28800	9.900203
32400	9.891868
36000	9.172023
39600	9.18344
43200	10.003773
46800	9.805805
50400	9.879994
54000	10.160596
57600	10.217997
61200	9.905689
64800	9.497597
68400	9.32256
72000	9.063158
75600	8.707146
79200	7.3793
82800	6.721573
86400	6.340608
90000	5.863985
93600	5.24556
97200	4.5714774
100800	3.8969193
104400	3.6757345
108000	3.103363
111600	2.821429
115200	3.0603611
118800	2.9422708
122400	2.3715386
126000	1.8939755
129600	1.2843671
133200	1.8118002
136800	1.1883049
140400	1.1813499
144000	2.2282128
147600	2.4189422
151200	2.6615202
154800	3.8757246
158400	5.1622524
162000	6.465358
165600	7.6618524
169200	8.520179
172800	9.6803055
176400	10.688004
180000	11.831383
183600	11.958429
187200	12.158219
190800	11.857925
194400	11.605687
198000	11.9463215
201600	12.047447
205200	11.592863
208800	9.435483
212400	8.818357
216000	7.68096
219600	7.299857
223200	7.9756875
226800	8.713755
230400	9.109956
234000	9.286378
237600	9.341931
241200	9.281074
244800	9.209803
248400	9.531384
252000	9.0483675
255600	8.835941
259200	8.542237
262800	8.261845
266400	8.287868
270000	8.254791
273600	7.8087444
277200	7.1793694
280800	6.5445704
284400	5.8962383
288000	5.553802
291600	5.3976054
295200	4.5431023
298800	4.4066744
302400	4.19603
306000	3.813086
309600	3.8562918
313200	4.451989
316800	4.933187
320400	4.9919863
324000	4.9045577
327600	4.6311135
331200	4.320997
334800	4.0953293
338400	3.720705
342000	4.0030055
345600	4.483042
349200	4.808532
352800	4.844511
356400	4.8889146
360000	5.414031
363600	6.28846
367200	7.288952
370800	7.9161377
374400	9.18455
378000	11.258107
381600	13.184107
385200	14.331368
388800	15.492562
392400	16.584284
396000	17.438625
399600	18.01367
403200	17.844875
406800	17.162941
410400	16.749052
414000	16.457872
417600	16.384205
421200	16.473068
424800	16.02024
428400	16.59391
432000	16.021214
435600	15.3313875
439200	14.69428
442800	14.380123
446400	14.8328905
450000	15.12397
453600	15.410733
457200	15.871744
460800	15.661966
464400	15.119474
468000	11.64472
471600	11.169314
475200	10.7973995
478800	10.175741
482400	9.529603
486000	8.577865
489600	7.493035
493200	7.7376432
496800	6.4483547
500400	5.098233
504000	4.6534486
507600	4.8415623
511200	6.2881155
514800	8.6558075
518400	11.54765
522000	14.1374655
525600	16.070366
529200	17.455616
532800	18.081947
536400	20.77902
540000	21.330698
543600	21.384518
547200	18.86157
550800	11.739412
554400	8.261613
558000	8.062582
561600	7.8970942
565200	7.546384
568800	6.488376
572400	5.2457814
576000	4.6607304
579600	5.3058805
583200	6.3833747
586800	7.8450212
590400	9.724619
594000	11.449903
597600	13.053221
601200	13.581294
604800	13.036855
608400	12.478638
612000	12.099937
615600	11.8530035
619200	11.833643
622800	11.767338
626400	11.820681
630000	12.126266
633600	12.715137
637200	13.67651
640800	15.252873
644400	16.310598
648000	16.53485
651600	16.337482
655200	16.309486
658800	16.099195
662400	15.671152
666000	15.745197
669600	15.537288
673200	15.121116
676800	14.77852
680400	14.474147
684000	13.6938095
687600	13.838492
691200	14.131924
694800	14.803589
698400	15.958176
702000	16.1677
705600	16.072182
709200	16.14463
712800	16.240286
716400	16.185167
720000	16.48981
723600	16.954556
727200	17.619501
730800	17.907156
734400	17.74149
738000	17.347284
741600	17.522564
745200	17.895815
748800	17.433174
752400	16.92888
756000	16.103378
759600	15.547625
763200	14.933681
766800	14.392359
770400	13.069152
774000	13.200572
777600	13.590492
781200	13.450674
784800	13.268063
788400	13.972132
792000	14.114056
795600	13.996133
799200	14.002846
802800	15.101542
806400	15.856463
810000	15.745265
813600	14.786796
817200	14.125587
820800	12.9544
824400	11.738024
828000	11.860487
831600	11.316235
835200	10.619836
838800	10.035386
842400	9.223785
846000	8.65719
849600	8.835135
853200	9.78925
856800	9.451596
860400	11.3737955
864000	11.543867
867600	10.918993
871200	9.813382
874800	9.710814
878400	9.848956
882000	10.01384
885600	9.831702
889200	9.361793
892800	8.570175
896400	7.898833
900000	7.949878
903600	6.706017
907200	5.7653255
910800	4.6832943
914400	3.65796
918000	2.5959656
921600	1.983866
925200	2.0432615
928800	2.7100034
932400	3.460228
936000	4.5936084
939600	5.637166
943200	6.322574
946800	7.695441
950400	9.058401
954000	9.698915
957600	10.055168
961200	10.425748
964800	10.969405
968400	11.646516
972000	11.763074
975600	11.8157015
979200	11.716504
982800	11.348686
986400	11.629343
990000	12.173879
993600	13.01408
997200	13.712054
1000800	14.183987
1004400	14.737936
1008000	15.861689
1011600	16.30744
1015200	16.666344
1018800	16.98318
1022400	17.231527
1026000	17.722038
1029600	18.155842
1033200	18.474508
1036800	19.007713
1040400	19.526297
1044000	19.924881
1047600	20.04028
1051200	19.854137
1054800	19.582523
1058400	19.615156
1062000	19.880726
1065600	20.153933
1069200	20.805883
1072800	20.22942
1076400	20.693174
1080000	20.579735
1083600	21.119898
1087200	21.741554
1090800	22.553772
1094400	22.193157
1098000	21.892082
1101600	21.519438
1105200	21.802383
1108800	22.052588
1112400	22.242949
1116000	22.17283
1119600	24.468552
1123200	23.537403
1126800	23.262789
1130400	22.581285
1134000	23.133862
1137600	23.58748
1141200	25.035028
1144800	24.75026
1148400	25.373348
1152000	25.96759
1155600	26.981009
