#1 
double myTable (1200,3) 
0.0,0.000,0.0
16666.666666666668,0.0005571064814814817,7.716049382716049e-12
33333.333333333336,0.0005586574074074073,3.0864197530864196e-11
50000.0,0.0005602083333333333,6.944444444444445e-11
66666.66666666669,0.0005617592592592594,1.2345679012345679e-10
83333.33333333331,0.0005633101851851851,1.9290123456790127e-10
100000.0,0.0005648611111111111,2.777777777777778e-10
116666.66666666669,0.0005664120370370371,3.780864197530865e-10
133333.33333333337,0.000567962962962963,4.938271604938271e-10
150000.0,0.0005695138888888888,6.25e-10
166666.66666666663,0.0005710648148148147,7.716049382716051e-10
183333.3333333333,0.0005726157407407407,9.33641975308642e-10
200000.0,0.0005741666666666668,1.1111111111111113e-09
216666.66666666672,0.0005757175925925927,1.3040123456790124e-09
233333.33333333328,0.0005772685185185184,1.512345679012346e-09
250000.0,0.0005788194444444445,1.7361111111111115e-09
266666.66666666674,0.0005803703703703705,1.975308641975309e-09
283333.33333333326,0.0005819212962962963,2.2299382716049382e-09
300000.0,0.0005834722222222223,2.5e-09
316666.66666666674,0.0005850231481481481,2.7854938271604945e-09
333333.33333333326,0.0005865740740740741,3.08641975308642e-09
350000.0000000001,0.0005881250000000001,3.402777777777778e-09
366666.66666666674,0.0005896759259259259,3.734567901234568e-09
383333.33333333326,0.0005912268518518519,4.08179012345679e-09
400000.0,0.0005927777777777777,4.444444444444445e-09
416666.66666666657,0.0005943287037037037,4.822530864197532e-09
433333.33333333343,0.0005958796296296298,5.21604938271605e-09
450000.0,0.0005974305555555558,5.625e-09
466666.66666666674,0.0005989814814814816,6.049382716049384e-09
483333.33333333326,0.0006005324074074074,6.489197530864197e-09
500000.0,0.0006020833333333334,6.944444444444446e-09
516666.66666666674,0.0006036342592592593,7.415123456790124e-09
533333.3333333335,0.0006051851851851853,7.901234567901236e-09
550000.0,0.0006067361111111113,8.402777777777777e-09
566666.6666666665,0.0006082870370370371,8.919753086419751e-09
583333.3333333335,0.0006098379629629631,9.452160493827162e-09
600000.0,0.0006113888888888889,1e-08
616666.6666666665,0.0006129398148148149,1.0563271604938275e-08
633333.3333333335,0.0006144907407407408,1.1141975308641978e-08
650000.0,0.0006160416666666666,1.1736111111111113e-08
666666.6666666665,0.0006175925925925928,1.234567901234568e-08
683333.3333333333,0.0006191435185185184,1.2970679012345678e-08
700000.0000000001,0.0006206944444444443,1.3611111111111113e-08
716666.6666666667,0.0006222453703703702,1.4266975308641976e-08
733333.3333333335,0.0006237962962962963,1.4938271604938273e-08
750000.0,0.0006253472222222222,1.5625e-08
766666.6666666665,0.0006268981481481482,1.632716049382716e-08
783333.3333333335,0.0006284490740740741,1.7044753086419756e-08
800000.0,0.0006299999999999999,1.7777777777777784e-08
816666.6666666665,0.000631550925925926,1.8526234567901235e-08
833333.3333333333,0.0006331018518518518,1.9290123456790127e-08
850000.0000000001,0.0006346527777777777,2.006944444444445e-08
866666.6666666667,0.0006362037037037037,2.08641975308642e-08
883333.3333333335,0.0006377546296296298,2.1674382716049386e-08
900000.0,0.0006393055555555556,2.25e-08
916666.6666666665,0.0006408564814814815,2.3341049382716047e-08
933333.3333333335,0.0006424074074074075,2.4197530864197536e-08
950000.0,0.0006439583333333332,2.5069444444444444e-08
966666.6666666665,0.0006455092592592593,2.5956790123456787e-08
983333.3333333331,0.0006470601851851853,2.6859567901234567e-08
