#1 
double power (40,2) 
0,0.00015071035805975746
1,0.0004526222232405348
2,0.0013585199504289585
3,0.0040701377158961285
4,0.012128434984274239
5,0.03557118927263617
6,0.09975048911968513
7,0.24973989440488234
8,0.5
9,0.7502601055951177
10,0.9002495108803148
11,0.9644288107273639
12,0.9878715650157257
13,0.995929862284104
14,0.9986414800495711
15,0.9995473777767595
16,0.9998492896419403
17,0.9999498278353162
18,0.999983298578152
19,0.9999944405176665
20,0.9999981494022271
21,0.9999993839887533
22,0.9999997949475846
23,0.999999931743971
24,0.9525741268224331
25,0.5
26,0.04742587317756679
27,0.002472623156634775
28,0.0001233945759862318
29,6.1441746022147215e-06
30,3.05902226925625e-07
31,1.5229979512760363e-08
32,7.582560422162393e-10
33,3.775134544136586e-11
34,1.879528816535553e-12
35,9.357622968839314e-14
36,4.6588861451033835e-15
37,2.319522830243573e-16
38,1.154822417301581e-17
39,5.749522264293572e-19
